# CSV: Date,Score,URL,IP
18/2/2023 17:24,6,https://www.lukdin.xyz/pesquisa.php,172.67.203.138
18/2/2023 17:24,6.2,https://tuned.net.au/ch/Ruckerstattung/login/Sunrise/inter/login.php,43.250.142.144
18/2/2023 17:24,4.2,https://tecnologiadeinformacion.com.mx/portal/pass/,209.59.139.149
18/2/2023 17:24,5,https://smbcbt.com,154.213.21.79
18/2/2023 17:23,6.7,https://p3plvwcpnl500432.prod.phx3.secureserver.net/~x6azqsjpqp74/crons/de2/web/zo6cz6uon4h36ebz3vnizuz77t0466/,50.62.149.65
18/2/2023 17:23,6.7,https://p3plvwcpnl500432.prod.phx3.secureserver.net/~x6azqsjpqp74/crons/de2/web/zo6cz6uon4h36ebz3vnizuz77t0466,50.62.149.65
18/2/2023 17:23,6.7,https://p3plvwcpnl500432.prod.phx3.secureserver.net/~x6azqsjpqp74/crons/de2/web/0f8ik0olo39tarnlri4u261s66r8nn/,50.62.149.65
18/2/2023 17:23,6.7,https://p3plvwcpnl500432.prod.phx3.secureserver.net/~x6azqsjpqp74/crons/de2/web/0f8ik0olo39tarnlri4u261s66r8nn,50.62.149.65
18/2/2023 17:23,6.7,https://p3plvwcpnl500432.prod.phx3.secureserver.net/~x6azqsjpqp74/crons/de2/web/,50.62.149.65
18/2/2023 17:23,6.3,https://p3plvwcpnl500432.prod.phx3.secureserver.net/~x6azqsjpqp74/crons/de2/web,50.62.149.65
18/2/2023 17:21,6.5,https://ione.mn/btserviceinc/business/business/,43.231.112.196
18/2/2023 17:21,6.2,https://ione.mn/btserviceinc/,43.231.112.196
18/2/2023 17:21,5.7,https://inpost.okdejedo.org/login/5c2a4e41b22474306c19c57dcc93dfe79d621692a21f32a948150fef39bae917,2606:4700:3037::ac43:842a
18/2/2023 17:20,6,https://excitablechiefbuckets.sa344646.repl.co/,34.149.204.188
18/2/2023 17:20,6,https://dismalbrowntelephones.sa344646.repl.co/,34.149.204.188
18/2/2023 17:20,4.1,https://cornyhuskycoderesource.banreservass1.repl.co/,34.149.204.188
18/2/2023 17:19,6.6,https://carousell.reservation99766.cloud/bank/dbs/1676547434446.231,172.67.144.141
18/2/2023 17:19,6.6,https://carousell.reservation93516.cloud/bank/dbs/1676692434245.037,104.21.74.139
18/2/2023 17:19,6.2,https://carousell.reservation87272.cloud/bank/dbs/1676742935737.6821,2606:4700:3034::6815:5b98
18/2/2023 17:19,6.6,https://carousell.reservation36559.cloud/bank/dbs/1676714119308.6118,104.21.61.243
18/2/2023 17:19,5.7,https://bi-personas.online1-app.repl.co/,34.149.204.188
18/2/2023 17:19,4.3,https://244.33.109.208.host.secureserver.net/USP/US/indexadress,208.109.33.244
18/2/2023 17:19,7.2,https://244.33.109.208.host.secureserver.net/bill-swisscomz/bluewinspz/faed5c4cd4979cac1b6e5f82b35597d3/sms.php,208.109.33.244
18/2/2023 17:19,7.2,https://244.33.109.208.host.secureserver.net/bill-swisscomz/bluewinspz/faed5c4cd4979cac1b6e5f82b35597d3/smserror.php,208.109.33.244
18/2/2023 17:18,7.2,https://244.33.109.208.host.secureserver.net/bill-swisscomz/bluewinspz/faed5c4cd4979cac1b6e5f82b35597d3/cc.php,208.109.33.244
18/2/2023 17:18,7.2,https://244.33.109.208.host.secureserver.net/bill-swisscomz/bluewinspz/d7e02ab298073fa611529f746b6119c9/sms.php,208.109.33.244
